"visitid","site","year","week","observer"
104,"21","6",21,"37"
105,"21","8",5,"4"
106,"22","4",50,"31"
107,"22","9",44,"15"
108,"24","1",8,"46"
109,"24","3",43,"29"
110,"24","5",52,"22"
111,"25","3",7,"27"
112,"25","9",5,"12"
113,"25","9",30,"6"
114,"25","10",5,"21"
115,"26","6",6,"16"
116,"26","7",15,"7"
117,"26","8",5,"27"
118,"26","8",20,"24"
119,"26","10",48,"49"
120,"27","6",36,"2"
121,"27","8",50,"21"
122,"27","10",42,"37"
123,"28","4",11,"35"
124,"28","4",38,"35"
125,"28","6",12,"34"
126,"28","8",20,"17"
127,"28","10",14,"41"
128,"29","5",20,"21"
129,"29","5",38,"35"
130,"29","7",30,"32"
131,"30","4",15,"12"
132,"30","6",3,"29"
133,"30","8",41,"12"
134,"30","8",53,"32"
135,"30","9",20,"49"
136,"30","9",39,"49"
137,"30","9",49,"13"
138,"31","7",13,"13"
139,"31","9",31,"16"
140,"32","5",45,"35"
141,"32","7",24,"2"
142,"33","6",11,"22"
143,"33","8",24,"32"
144,"33","9",36,"33"
145,"33","9",38,"8"
146,"34","4",17,"32"
147,"34","5",48,"10"
148,"34","8",5,"42"
149,"34","9",21,"40"
150,"35","5",33,"3"
151,"35","6",39,"34"
152,"35","7",32,"5"
153,"35","7",36,"37"
154,"35","8",32,"30"
155,"35","8",37,"6"
156,"35","10",32,"37"
157,"36","3",6,"33"
158,"36","3",21,"8"
159,"36","6",34,"50"
160,"36","7",29,"46"
161,"36","10",34,"13"
162,"37","2",5,"40"
163,"37","4",31,"47"
164,"37","5",38,"31"
165,"37","7",29,"28"
166,"37","8",12,"13"
167,"37","8",12,"34"
168,"37","10",13,"12"
169,"37","10",50,"46"
170,"38","5",34,"40"
171,"38","6",11,"28"
172,"38","7",45,"17"
173,"38","9",7,"46"
174,"38","9",51,"32"
175,"38","10",27,"18"
176,"38","10",45,"2"
177,"38","10",51,"42"
178,"39","6",48,"15"
179,"39","9",2,"38"
180,"39","9",5,"29"
181,"39","9",28,"15"
182,"39","9",32,"4"
183,"40","5",25,"19"
184,"41","2",5,"22"
185,"41","3",45,"1"
186,"41","9",20,"19"
187,"41","9",23,"3"
188,"41","10",2,"6"
189,"42","4",30,"13"
190,"42","6",5,"35"
191,"42","8",42,"9"
192,"42","8",48,"13"
193,"42","9",5,"15"
194,"42","9",10,"26"
195,"42","10",51,"36"
196,"43","3",11,"49"
197,"43","3",15,"2"
198,"43","6",15,"4"
199,"43","7",4,"22"
200,"43","7",32,"28"
201,"43","8",44,"41"
202,"43","9",17,"37"
203,"44","4",7,"44"
204,"44","8",36,"24"
205,"44","8",45,"40"
206,"44","10",6,"33"
207,"44","10",9,"13"
208,"44","10",19,"26"
209,"45","6",33,"30"
210,"45","6",40,"21"
211,"45","8",7,"37"
212,"45","8",32,"26"
213,"45","9",24,"32"
214,"45","9",30,"3"
215,"45","10",2,"41"
216,"46","4",36,"33"
217,"46","7",14,"4"
218,"46","7",32,"16"
219,"46","8",52,"39"
220,"46","9",2,"45"
221,"46","10",26,"31"
222,"46","10",49,"21"
223,"47","3",8,"41"
224,"47","4",4,"38"
225,"47","4",11,"35"
226,"47","5",3,"18"
227,"47","5",40,"35"
228,"47","8",1,"9"
229,"47","9",53,"29"
230,"48","2",13,"41"
231,"48","2",37,"8"
232,"48","2",37,"50"
233,"48","2",52,"12"
234,"48","3",12,"28"
235,"48","5",46,"7"
236,"48","6",1,"44"
237,"48","6",13,"50"
238,"48","7",39,"40"
239,"48","10",44,"23"
240,"49","3",44,"27"
241,"49","6",35,"43"
242,"49","7",3,"17"
243,"49","7",34,"29"
244,"49","8",27,"32"
245,"49","8",32,"46"
246,"49","8",42,"20"
247,"49","10",46,"17"
248,"50","2",10,"38"
249,"50","2",26,"49"
250,"50","5",3,"1"
251,"50","7",45,"39"
252,"50","9",28,"15"
253,"50","9",47,"3"
254,"50","10",14,"5"
255,"50","10",14,"41"
256,"51","2",45,"19"
257,"51","4",45,"17"
258,"51","6",23,"17"
259,"51","10",29,"28"
260,"52","2",15,"48"
261,"52","2",21,"30"
262,"52","6",40,"24"
263,"52","8",20,"12"
264,"52","9",24,"2"
265,"52","10",4,"46"
266,"52","10",9,"5"
267,"53","8",27,"32"
268,"53","8",29,"36"
269,"53","8",33,"47"
270,"54","3",28,"39"
271,"54","5",15,"12"
272,"54","6",17,"12"
273,"54","7",51,"45"
274,"54","9",15,"30"
275,"54","9",31,"12"
276,"54","10",15,"48"
277,"55","1",21,"12"
278,"55","2",24,"50"
279,"55","7",26,"25"
280,"55","8",4,"40"
281,"55","8",24,"49"
282,"55","8",49,"5"
283,"55","9",31,"39"
284,"55","10",1,"2"
285,"55","10",50,"37"
286,"56","3",47,"34"
287,"56","4",12,"19"
288,"56","7",3,"31"
289,"56","8",8,"5"
290,"56","8",22,"10"
291,"56","8",40,"33"
292,"57","7",37,"11"
293,"57","9",41,"50"
294,"58","2",9,"44"
295,"58","6",4,"16"
296,"58","8",20,"49"
297,"58","10",41,"32"
298,"59","3",12,"43"
299,"59","5",50,"28"
300,"59","5",52,"5"
301,"59","7",14,"22"
302,"59","8",22,"12"
303,"59","8",28,"7"
304,"59","9",32,"20"
305,"59","9",44,"4"
306,"59","9",48,"48"
307,"59","10",44,"44"
308,"60","7",40,"41"
309,"60","10",36,"32"
310,"60","10",47,"13"
311,"61","5",17,"34"
312,"61","5",18,"43"
313,"61","6",16,"24"
314,"61","8",3,"10"
315,"61","10",25,"8"
316,"62","5",47,"2"
317,"62","6",38,"21"
318,"62","7",38,"3"
319,"62","8",2,"44"
320,"63","2",11,"19"
321,"63","2",16,"44"
322,"63","6",7,"29"
323,"63","6",49,"3"
324,"63","7",41,"5"
325,"63","8",26,"37"
326,"63","9",33,"42"
327,"63","10",40,"24"
328,"64","2",19,"34"
329,"64","7",2,"1"
330,"64","7",12,"29"
331,"64","8",41,"14"
332,"64","10",16,"11"
333,"64","10",36,"16"
334,"65","2",15,"14"
335,"65","3",50,"5"
336,"65","4",21,"7"
337,"65","4",33,"14"
338,"65","4",42,"22"
339,"65","5",30,"40"
340,"65","9",27,"23"
341,"65","9",33,"29"
342,"65","10",33,"32"
343,"66","5",49,"35"
344,"67","2",10,"21"
345,"67","5",18,"37"
346,"67","7",50,"13"
347,"67","8",41,"46"
348,"67","8",46,"13"
349,"67","10",7,"2"
350,"67","10",35,"21"
351,"68","4",10,"27"
352,"68","7",9,"31"
353,"68","8",25,"39"
354,"69","5",46,"33"
355,"69","5",48,"45"
356,"69","9",30,"7"
357,"69","9",48,"35"
358,"69","10",6,"30"
359,"70","5",47,"34"
360,"70","6",49,"47"
361,"70","7",19,"10"
362,"70","9",5,"2"
363,"70","9",44,"38"
364,"70","9",45,"29"
365,"71","5",34,"35"
366,"71","8",34,"10"
367,"71","9",19,"12"
368,"71","10",22,"11"
369,"72","5",3,"4"
370,"72","7",28,"14"
371,"72","9",30,"42"
372,"72","10",8,"42"
373,"73","3",28,"33"
374,"73","4",6,"13"
375,"73","5",18,"28"
376,"73","5",41,"26"
377,"73","10",41,"31"
378,"74","9",15,"20"
379,"75","4",1,"40"
380,"75","4",21,"24"
381,"75","5",35,"49"
382,"75","9",23,"30"
383,"75","10",5,"27"
384,"76","5",32,"30"
385,"76","7",32,"17"
386,"76","8",28,"20"
387,"76","9",30,"35"
388,"76","9",39,"33"
389,"77","5",25,"9"
390,"77","10",35,"5"
391,"77","10",38,"40"
392,"78","2",14,"17"
393,"78","6",6,"21"
394,"78","7",1,"29"
395,"78","7",17,"18"
396,"79","6",39,"38"
397,"79","8",7,"37"
398,"80","8",21,"3"
399,"80","8",50,"4"
400,"80","9",6,"12"
401,"80","10",5,"41"
402,"80","10",8,"50"
403,"80","10",20,"40"
404,"80","10",48,"44"
405,"81","1",11,"10"
406,"81","5",44,"43"
407,"81","6",22,"22"
408,"81","10",21,"49"
409,"82","4",37,"40"
410,"82","5",3,"4"
411,"82","6",33,"10"
412,"82","7",25,"16"
413,"82","9",10,"1"
414,"83","7",12,"42"
415,"83","7",25,"3"
416,"83","9",19,"1"
417,"83","10",33,"47"
418,"84","2",43,"29"
419,"84","4",12,"6"
420,"84","5",7,"9"
421,"84","6",20,"14"
422,"84","6",36,"39"
423,"84","6",48,"32"
424,"84","8",1,"3"
425,"84","8",46,"41"
426,"84","9",35,"10"
427,"84","9",51,"16"
428,"84","10",25,"23"
429,"84","10",51,"46"
430,"85","8",22,"25"
431,"85","8",44,"3"
432,"85","8",51,"15"
433,"85","9",20,"37"
434,"85","10",16,"27"
435,"85","10",50,"15"
436,"86","6",2,"47"
437,"86","6",3,"19"
438,"86","6",25,"24"
439,"86","8",10,"35"
440,"86","9",1,"37"
441,"86","9",42,"25"
442,"86","9",44,"50"
443,"86","10",29,"42"
444,"87","3",40,"27"
445,"87","4",38,"46"
446,"87","5",24,"11"
447,"87","5",43,"43"
448,"87","6",19,"1"
449,"87","10",10,"20"
450,"87","10",37,"16"
451,"88","1",2,"23"
452,"88","9",27,"10"
453,"88","10",15,"40"
454,"88","10",36,"30"
455,"89","6",45,"47"
456,"89","8",16,"37"
457,"89","9",7,"29"
458,"89","10",36,"16"
459,"90","7",3,"43"
460,"91","3",45,"9"
461,"91","6",42,"14"
462,"91","8",6,"2"
463,"91","8",49,"41"
464,"92","2",27,"22"
465,"92","5",18,"21"
466,"92","5",22,"30"
467,"92","7",40,"50"
468,"92","9",24,"23"
469,"92","9",46,"49"
470,"93","3",44,"26"
471,"93","6",37,"9"
472,"93","8",24,"2"
473,"93","9",11,"16"
474,"93","9",33,"28"
475,"93","10",52,"43"
476,"94","2",20,"50"
477,"94","9",2,"24"
478,"95","1",7,"42"
479,"95","3",3,"33"
480,"95","6",9,"45"
481,"95","6",20,"45"
482,"95","9",46,"18"
483,"95","9",52,"38"
484,"95","10",3,"13"
485,"96","4",51,"9"
486,"96","10",16,"30"
487,"96","10",20,"21"
488,"97","3",3,"7"
489,"97","9",45,"15"
490,"98","5",45,"4"
491,"98","7",30,"12"
492,"99","4",45,"34"
493,"99","7",1,"15"
494,"99","7",14,"44"
495,"99","9",47,"26"
496,"100","2",11,"4"
497,"100","4",42,"8"
498,"100","8",33,"35"
499,"100","8",49,"9"
500,"100","10",25,"20"
